"","Team","Opponent","HomeGame","ScoreFor","ScoreAgainst","GameId","Year","WeekNumber","GameDate","Overtime","ConvertBotched","Convert2Attempts","Convert2Fail","FirstDownsByPenalty","FirstDownsByPassing","FirstDownsByRushing","DrivesFieldGoalTotal","DrivesFieldGoalRougeTotal","DrivesMissedFieldGoalTotal","DrivesOutOfTimeTotal","DrivesPuntRougeTotal","DrivesPuntTotal","DrivesSafetyTotal","DrivesTouchdownTotal","DrivesTurnoverDownsTotal","DrivesTurnoverFumbleTotal","DrivesTurnoverInterceptionTotal","DrivesScoredTotal","DrivesScoredNonRougeTotal","DrivesTotal","DrivesTurnedOverTotal","DrivesScoredPercentage","DrivesScoredNonRougePercentage","DrivesTurnedOverPercentage","DrivesPuntedPercentage","DrivesStartingPositionNormalizedTotal","DrivesDurationInSecondsTotal","DrivesPlaysTotal","DrivesYardsGainedTotal","DrivesPointsScoredTotal","DrivesStartingPositionNormalizedAverage","DrivesDurationInSecondsAverage","DrivesNumberOfPlaysAverage","DrivesYardsGainedAverage","DrivesPointsScoredAverage","DrivesYardsPerPlay","FirstDownsTotal","TeamTurnoversTotal","Convert1Attempts","Convert1Blocked","Convert1HadBlocked","Convert1Made","Convert1Missed","Convert1Percentage","Convert2Score","FieldGoalAttemptsTotal","FieldGoalAttempts0to19","FieldGoalAttempts20to29","FieldGoalAttempts30to39","FieldGoalAttempts40to49","FieldGoalAttempts50Plus","FieldGoalsBlocked","FieldGoalsHadBlocked","FieldGoalsMadeTotal","FieldGoalsMade0to19","FieldGoalsMade20to29","FieldGoalsMade30to39","FieldGoalsMade40to49","FieldGoalsMade50Plus","FieldGoalsMadeLongest","FieldGoalsMissedTotal","FieldGoalsMissed0to19","FieldGoalsMissed20to29","FieldGoalsMissed30to39","FieldGoalsMissed40to49","FieldGoalsMissed50Plus","FieldGoalsPercentage","FieldGoalsRougeTotal","FumblesAdvanced","FumblesAdvancedYards","FumblesAdvancedLongest","FumblesAdvancedAverage","FumblesAdvancedTouchdown","FumblesCommitted","FumblesForced","FumblesLost","FumblesRecovered","FumblesReturned","FumblesReturnAverage","FumblesReturnLongest","FumblesReturnYards","FumblesReturnTouchdown","InterceptionsReturnAverage","InterceptionsReturnLongest","InterceptionsReturnYards","InterceptionsTotal","InterceptionsTouchdown","KickoffAverageGross","KickoffAverageNet","KickoffLongGross","KickoffLongNet","KickoffOwnTeamRecovery","KickoffRougeTotal","KickoffThroughEndZone","KickoffTotal","KickoffYardsGross","KickoffYardsNet","LateralAdvanced","LateralAdvancedYards","LateralAdvancedLongest","LateralAdvancedTouchdown","LateralMade","LateralReceived","MissedFieldGoalReturnAverage","MissedFieldGoalReturnLong","MissedFieldGoalReturnTotal","MissedFieldGoalReturnTouchdown","MissedFieldGoalReturnYards","PassesAttempts","PassesCompletions","PassesDefensed","PassesInterceptions","PassesInterceptionPercentage","PassesPercentage","PassesSackedPercentage","PassesTouchdowns","PassesTouchdownPercentage","PassesYardsGrossPerAttempt","PassesYardsGrossPerCatch","PassesYardsNetPerAttempt","PassesAttemptsPlusSacked","PassesYardsGross","PassesYardsLongest","PassTargets","PenaltiesTotal","PenaltiesYards","PuntsAverageGross","PuntsAverageNet","PuntsBlocked","PuntsHadBlocked","PuntsInside20","PuntsInside20Percentage","PuntsLongGross","PuntsLongNet","PuntsRougeTotal","PuntsTotal","PuntsYardsGross","PuntsYardsNet","ReceptionsAverageYardsPer","ReceptionsLongest","ReceptionsSafeties","ReceptionsTotal","ReceptionsTouchdowns","ReceptionsYards","ReturnsKickoffAverage","ReturnsKickoffLongest","ReturnsKickoffTotal","ReturnsKickoffTouchdown","ReturnsKickoffYards","ReturnsPuntAverage","ReturnsPuntLongest","ReturnsPuntTotal","ReturnsPuntTouchdown","ReturnsPuntYards","RushesAttempts","RushesAverageYardsPer","RushesLongest","RushesSafeties","RushesTouchdowns","RushesYards","SackedAverage","SackedLong","SackedTotal","SackedYards","SacksTotal","SacksYards","SacksAverage","SpecialTeamsTackleTotal","TacklesForLossTotal","TacklesForLossYards","TacklesForLossAverage","SafetyScoredTotal","TacklesTotal","TeamLossSafeties","TeamLossTotal","TeamLossYards","TeamLossAverage","TouchdownsScored","PointsScored","PassesYardsNet","YardsFromScrimmageGross","YardsFromScrimmageNet","AllPurposeYards","OffensiveYardsNet","Turnovers","KickingPointsScored","PuntingPointsScored","RougesScored","PasserRating","FumbleReturnOrAdvanceTotal","FumbleReturnOrAdvanceYards","FumbleReturnOrAdvanceAverage","FumbleReturnOrAdvanceTouchdown","AllKickReturnYards","AllKickReturnTotal","AllKickReturnTouchdowns","AllKickReturnAverage","season"
"1","MTL","WPG",FALSE,38,33,2013009,2013,1,"2013-06-27T21:00:00",FALSE,0,0,0,2,13,5,5,0,0,1,2,8,0,2,0,0,1,9,7,20,1,0.45,0.35,0.05,0.5,1094,1911,77,348,27,54.7,95.55,3.85,17.4,1.35,4.51948051948052,20,1,3,0,0,3,0,1,0,5,1,0,4,0,0,0,0,5,1,0,4,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2.66666666666667,6,8,3,0,62,43.2857142857143,67,53,0,0,0,7,434,303,0,0,0,0,0,0,0,0,0,0,0,35,20,4,1,0.0285714285714286,0.571428571428571,0.102564102564103,1,0.0285714285714286,7.54285714285714,13.2,6,39,264,42,34,10,87,45.5,35.7,0,0,0,0,57,57,2,10,455,357,13.2,42,0,20,1,264,21.8,26,5,0,109,17.1666666666667,78,6,1,103,21,4.28571428571429,21,0,1,90,7.5,11,4,30,3,6,2,11,2,3,1.5,0,29,1,6,40,6.66666666666667,3,38,234,354,314,566,588,1,20,2,2,78.8,1,0,0,0,212,11,1,19.2727272727273,2013
"2","HAM","TOR",FALSE,34,39,2013010,2013,1,"2013-06-28T19:00:00",FALSE,0,0,0,2,17,7,2,0,1,2,0,4,0,3,0,0,0,5,5,12,0,0.416666666666667,0.416666666666667,0,0.333333333333333,419,1892,63,477,24,34.9166666666667,157.666666666667,5.25,39.75,2,7.57142857142857,26,0,4,0,0,4,0,1,0,3,0,1,1,1,0,0,0,2,0,1,0,1,0,40,1,0,0,1,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.8333333333333,40.5,62,48,0,0,0,6,359,243,0,0,0,0,0,0,0,0,0,0,0,37,24,4,0,0,0.648648648648649,0.0512820512820513,3,0.0810810810810811,9.75675675675676,15.0416666666667,8.84615384615385,39,361,64,37,8,84,45.25,33.25,0,0,0,0,53,44,0,4,181,133,15.0416666666667,64,0,24,3,361,37.8333333333333,104,6,1,227,4.5,8,4,0,18,16,6.4375,16,0,0,103,8,9,2,16,0,0,0,8,2,4,2,0,30,0,3,17,5.66666666666667,4,34,345,464,447,709,809,0,10,0,0,123.8,0,0,0,0,245,10,1,24.5,2013
"3","BC","CGY",FALSE,32,44,2013011,2013,1,"2013-06-28T22:00:00",FALSE,0,1,0,2,13,4,1,0,0,0,0,7,0,3,0,1,1,4,4,14,2,0.285714285714286,0.285714285714286,0.142857142857143,0.5,476,1623,59,327,19,34,115.928571428571,4.21428571428571,23.3571428571429,1.35714285714286,5.54237288135593,19,2,3,0,0,2,1,0.666666666666667,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,40,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,2,1,0,0,0,0,45,45,45,1,1,61.2857142857143,47.2857142857143,84,84,0,1,0,7,429,331,0,0,0,0,0,0,0,0,0,0,0,36,21,2,1,0.0277777777777778,0.583333333333333,0.0769230769230769,3,0.0833333333333333,7.86111111111111,13.4761904761905,6.8974358974359,39,283,53,35,8,106,42,30.4285714285714,0,0,0,0,47,46,0,7,294,213,13.4761904761905,53,0,21,3,283,17.1666666666667,30,6,0,103,8.25,23,4,0,33,12,6,23,0,0,72,4.66666666666667,8,3,14,0,0,0,10,2,4,2,0,41,1,4,42,10.5,4,32,269,355,313,491,624,2,6,0,1,99.7,1,0,0,0,136,10,0,13.6,2013
"4","SSK","EDM",FALSE,39,18,2013012,2013,1,"2013-06-29T15:30:00",FALSE,0,0,0,2,10,7,1,0,0,1,1,8,0,4,0,0,0,6,5,16,0,0.375,0.3125,0,0.5625,687,1971,64,345,26,42.9375,123.1875,4,21.5625,1.625,5.390625,19,0,5,0,0,5,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,3,1,0,0,0,0,32.6666666666667,42,98,3,1,66,49.1666666666667,73,60,0,0,0,6,396,295,0,0,0,0,0,0,0,0,0,0,0,25,16,3,0,0,0.64,0.0384615384615385,3,0.12,8.36,13.0625,7.57692307692308,26,209,38,25,6,60,48.5555555555556,43.7777777777778,0,0,0,0,56,56,1,9,437,394,13.0625,38,0,16,3,209,23,25,2,0,46,6.57142857142857,15,7,0,46,24,6,26,0,1,144,12,12,1,12,3,15,5,12,1,2,2,0,36,1,5,23,4.6,5,39,197,353,330,445,550,0,9,1,1,129.8,1,0,0,0,92,9,0,10.2222222222222,2013
"5","WPG","MTL",FALSE,19,11,2013013,2013,2,"2013-07-04T19:00:00",FALSE,0,0,0,2,8,9,1,0,1,1,2,8,0,2,0,3,1,5,3,19,4,0.263157894736842,0.157894736842105,0.210526315789474,0.526315789473684,783,2025,77,357,17,41.2105263157895,106.578947368421,4.05263157894737,18.7894736842105,0.894736842105263,4.63636363636364,19,5,2,0,0,2,0,1,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,27,1,0,1,0,0,0,0.5,0,0,0,0,0,0,5,1,4,2,1,0,0,0,0,8.5,17,17,2,0,61,41.6666666666667,62,46,0,0,0,3,183,125,0,0,0,0,0,0,22,22,1,0,22,32,20,1,1,0.03125,0.625,0.135135135135135,0,0,8.1875,13.1,6.48648648648649,37,262,47,31,5,56,48.2,38.8,0,0,0,0,57,57,2,10,482,388,13.1,47,0,20,0,262,23.5,25,2,0,47,7.7,19,10,0,77,27,3.25925925925926,17,0,2,88,4.4,8,5,22,7,39,5.57142857142857,10,3,8,2.66666666666667,0,36,0,6,28,4.66666666666667,2,19,240,350,322,496,590,5,7,2,2,75.3,1,0,0,0,146,13,0,11.2307692307692,2013
"6","TOR","BC",FALSE,16,24,2013014,2013,2,"2013-07-04T22:00:00",FALSE,0,0,0,0,12,2,3,0,0,0,0,8,0,1,1,1,0,4,4,14,2,0.285714285714286,0.285714285714286,0.142857142857143,0.571428571428571,572,1522,63,232,15,40.8571428571429,108.714285714286,4.5,16.5714285714286,1.07142857142857,3.68253968253968,14,2,1,0,0,1,0,1,0,3,1,0,1,1,0,0,0,3,1,0,1,1,0,42,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,10,10,10,1,0,48.2,40.8,60,52,0,0,0,5,241,204,0,0,0,0,0,0,0,0,0,0,0,39,28,2,0,0,0.717948717948718,0.025,0,0,5.51282051282051,7.67857142857143,5.2,40,215,25,39,8,62,44.125,41.875,1,0,0,0,51,47,0,8,353,335,7.67857142857143,25,0,28,0,215,17.5,21,4,0,70,6,15,3,0,18,12,2.83333333333333,7,0,1,34,7,7,1,7,3,12,4,12,2,5,2.5,0,46,0,1,7,7,1,16,208,249,242,337,457,1,10,0,0,84.9,0,0,0,0,88,7,0,12.5714285714286,2013
"7","CGY","SSK",FALSE,21,36,2013015,2013,2,"2013-07-05T21:00:00",FALSE,0,0,0,0,10,7,0,0,0,0,0,7,0,3,0,0,1,3,3,11,1,0.272727272727273,0.272727272727273,0.0909090909090909,0.636363636363636,391,1436,54,309,18,35.5454545454545,130.545454545455,4.90909090909091,28.0909090909091,1.63636363636364,5.72222222222222,17,1,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,33,68,39,0,0,0,4,232,132,0,0,0,0,0,0,0,0,0,0,0,32,23,0,1,0.03125,0.71875,0.0588235294117647,2,0.0625,8.5,11.8260869565217,7.82352941176471,34,272,64,31,6,98,46.4285714285714,35.8571428571429,0,0,0,0,54,46,0,7,325,251,11.8260869565217,64,0,23,2,272,22,29,4,0,88,3.5,6,2,0,7,13,4.46153846153846,10,0,1,58,3,4,2,6,2,12,6,8,1,4,4,0,52,0,2,6,3,3,21,266,330,324,425,596,1,3,0,0,105.2,0,0,0,0,95,6,0,15.8333333333333,2013
"8","EDM","HAM",FALSE,30,20,2013016,2013,2,"2013-07-07T17:00:00",FALSE,0,0,0,2,7,7,0,0,0,1,0,10,0,4,0,0,0,4,4,15,0,0.266666666666667,0.266666666666667,0,0.666666666666667,523,1788,57,379,24,34.8666666666667,119.2,3.8,25.2666666666667,1.6,6.64912280701754,16,1,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,4,1,0,0,0,0,2,4,4,2,0,68.4,37.6,75,55,0,0,0,5,342,188,0,0,0,0,0,0,30,30,1,0,30,22,14,4,0,0,0.636363636363636,0.0434782608695652,2,0.0909090909090909,6.18181818181818,9.71428571428571,5.34782608695652,23,136,19,22,15,137,39.0909090909091,34.6363636363636,0,0,0,0,55,52,0,11,430,381,9.71428571428571,19,0,14,2,136,25.25,38,4,0,101,6.5,12,6,0,39,20,8.85,70,0,2,177,13,13,1,13,4,39,9.75,12,3,4,1.33333333333333,1,34,0,4,16,4,4,30,123,313,297,483,436,1,4,0,0,111.2,1,0,0,0,170,11,0,15.4545454545455,2013
"9","SSK","TOR",FALSE,39,28,2013017,2013,3,"2013-07-11T19:30:00",FALSE,0,0,0,2,10,11,1,0,0,0,1,6,0,5,0,0,0,7,6,13,0,0.538461538461538,0.461538461538462,0,0.538461538461538,552,1830,61,492,34,42.4615384615385,140.769230769231,4.69230769230769,37.8461538461538,2.61538461538462,8.0655737704918,23,1,5,0,0,5,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,69,52,72,67,0,0,0,6,414,312,0,0,0,0,0,0,9,9,1,0,9,20,15,3,0,0,0.75,0.0476190476190476,3,0.15,12.7,16.9333333333333,11.6666666666667,21,254,70,20,7,79,43,40.2857142857143,0,0,0,0,56,56,1,7,301,282,16.9333333333333,70,0,15,3,254,15,28,5,0,75,8.42857142857143,23,7,0,59,32,7,37,0,2,224,9,9,1,9,5,28,5.6,6,1,2,2,0,46,0,1,9,9,5,39,245,478,469,621,723,1,9,1,1,156.3,0,0,0,0,143,13,0,11,2013
"10","CGY","MTL",FALSE,22,14,2013018,2013,3,"2013-07-12T19:30:00",FALSE,0,0,0,3,14,5,5,0,0,2,0,6,0,1,0,1,0,6,6,15,1,0.4,0.4,0.0666666666666667,0.4,673,2172,73,354,21,44.8666666666667,144.8,4.86666666666667,23.6,1.4,4.84931506849315,22,1,1,0,0,1,0,1,0,5,1,2,2,0,0,0,0,5,1,2,2,0,0,39,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,2,1,5,5,5,0,0,0,0,1,0,64,41.5,68,45,0,0,0,2,128,83,0,0,0,0,0,0,0,0,0,0,0,28,22,4,0,0,0.785714285714286,0.176470588235294,1,0.0357142857142857,9.57142857142857,12.1818181818182,6.61764705882353,34,268,42,28,6,55,42.5,41.1666666666667,0,1,0,0,45,44,0,6,255,247,12.1818181818182,42,0,22,1,268,23.6666666666667,29,3,0,71,5.83333333333333,13,6,0,35,23,4.69565217391304,20,0,0,108,7.16666666666667,10,6,43,2,13,6.5,4,2,7,3.5,0,34,0,11,62,5.63636363636364,1,22,225,376,314,482,601,1,16,0,0,118.5,1,5,5,0,106,9,0,11.7777777777778,2013
